date,dengue symptoms,dengue fever,dengue how,dengue mosquito,mosquito bite
2013-01-01,11,20,2,0,4
2013-02-01,20,35,3,6,4
2013-03-01,13,26,2,4,6
2013-04-01,40,50,4,14,7
2013-05-01,47,54,5,10,3
2013-06-01,93,100,9,14,9
2013-07-01,38,40,4,7,3
2013-08-01,29,31,3,5,10
2013-09-01,25,24,3,6,6
2013-10-01,29,36,3,5,2
2013-11-01,30,30,4,6,5
2013-12-01,22,24,2,3,5
2014-01-01,26,24,2,4,3
2014-02-01,21,21,2,2,5
2014-03-01,15,21,0,3,7
2014-04-01,18,19,1,3,5
2014-05-01,19,17,2,2,5
2014-06-01,21,23,4,5,7
2014-07-01,47,46,8,5,6
2014-08-01,33,36,5,6,4
2014-09-01,15,16,1,2,4
2014-10-01,12,13,2,2,7
2014-11-01,11,13,2,2,3
2014-12-01,16,18,2,3,3
2015-01-01,15,17,2,1,7
2015-02-01,11,16,2,1,3
2015-03-01,12,11,3,3,4
2015-04-01,11,12,2,3,3
2015-05-01,17,21,1,2,8
2015-06-01,14,20,2,3,6
2015-07-01,12,17,4,4,4
2015-08-01,10,14,4,2,5
2015-09-01,9,15,1,3,4
2015-10-01,12,16,2,1,3
2015-11-01,12,17,3,3,4
2015-12-01,16,23,4,8,8
2016-01-01,31,29,3,5,6
2016-02-01,36,42,4,5,4
2016-03-01,21,25,3,4,4
2016-04-01,14,16,0,5,3
2016-05-01,16,10,2,5,4
2016-06-01,18,16,2,3,7
2016-07-01,19,13,1,3,2
2016-08-01,14,10,0,3,4
2016-09-01,13,11,3,5,11
2016-10-01,9,8,0,2,4
2016-11-01,7,9,3,1,5
2016-12-01,4,3,0,2,4
2017-01-01,6,12,3,2,4
2017-02-01,9,9,1,2,4
2017-03-01,9,9,0,1,5
2017-04-01,6,7,2,2,6
2017-05-01,12,9,2,2,6
2017-06-01,10,11,0,1,5
2017-07-01,9,10,2,2,5
2017-08-01,7,7,0,3,0
2017-09-01,7,11,2,2,5
2017-10-01,9,11,1,3,5
2017-11-01,10,13,0,4,2
2017-12-01,7,8,1,2,3
2018-01-01,7,10,2,1,3
2018-02-01,7,8,2,2,4
2018-03-01,7,9,2,2,5
2018-04-01,6,8,1,1,4
2018-05-01,13,13,2,5,6
2018-06-01,8,8,2,3,5
2018-07-01,6,8,2,1,3
2018-08-01,5,9,1,2,4
2018-09-01,7,7,2,2,1
2018-10-01,4,6,0,1,3
2018-11-01,7,9,0,2,7
2018-12-01,9,7,1,3,4
2019-01-01,7,13,3,2,3
2019-02-01,10,14,2,3,5
2019-03-01,7,11,1,4,2
2019-04-01,8,11,0,4,6
2019-05-01,16,15,1,3,5
2019-06-01,24,19,5,5,8
2019-07-01,27,29,4,7,6
2019-08-01,26,28,5,5,5
2019-09-01,17,17,3,4,5
2019-10-01,10,14,2,4,5
2019-11-01,17,16,4,3,4
2019-12-01,13,17,4,1,5
2020-01-01,15,18,2,3,4
2020-02-01,13,20,5,4,5
2020-03-01,14,15,2,5,5
2020-04-01,11,12,3,4,4
2020-05-01,13,14,4,4,6
2020-06-01,34,22,6,13,8
2020-07-01,40,26,10,16,10
2020-08-01,30,25,8,11,7
2020-09-01,19,11,5,7,5
2020-10-01,13,8,2,5,4
2020-11-01,9,8,1,4,4
2020-12-01,5,2,2,2,3
2021-01-01,5,3,2,1,4
2021-02-01,5,4,1,0,2
2021-03-01,5,4,1,4,5
2021-04-01,5,3,2,2,5
2021-05-01,4,4,2,4,4
2021-06-01,4,2,0,2,2
2021-07-01,6,5,2,0,2
2021-08-01,4,4,2,2,2
2021-09-01,3,3,1,2,2
2021-10-01,3,4,2,2,4
2021-11-01,3,4,0,2,3
2021-12-01,3,2,1,2,6
2022-01-01,5,0,2,4,4
2022-02-01,4,3,3,2,0
2022-03-01,9,6,4,3,4
2022-04-01,20,10,5,5,7
2022-05-01,38,18,8,7,5
2022-06-01,52,23,8,9,5
2022-07-01,43,14,7,5,7
2022-08-01,31,14,6,4,5
2022-09-01,25,14,5,5,5
2022-10-01,21,10,4,3,6
2022-11-01,15,10,2,5,5
2022-12-01,16,8,2,1,4
