Year_Month,Dengue,DHF
2012-01-01,332,6
2012-02-01,257,1
2012-03-01,229,2
2012-04-01,360,3
2012-05-01,337,1
2012-06-01,465,3
2012-07-01,599,2
2012-08-01,436,0
2012-09-01,422,4
2012-10-01,415,1
2012-11-01,365,3
2012-12-01,517,6
2013-01-01,979,5
2013-02-01,1109,5
2013-03-01,1600,10
2013-04-01,2079,7
2013-05-01,2546,9
2013-06-01,3934,15
2013-07-01,1522,4
2013-08-01,1353,8
2013-09-01,1997,17
2013-10-01,1758,7
2013-11-01,1580,3
2013-12-01,1948,2
2014-01-01,1450,0
2014-02-01,1021,3
2014-03-01,1108,2
2014-04-01,1012,1
2014-05-01,1435,1
2014-06-01,3073,5
2014-07-01,2679,4
2014-08-01,2107,0
2014-09-01,1441,2
2014-10-01,974,0
2014-11-01,849,1
2014-12-01,721,0
2015-01-01,980,1
2015-02-01,656,1
2015-03-01,609,3
2015-04-01,477,0
2015-05-01,730,4
2015-06-01,881,1
2015-07-01,1078,0
2015-08-01,1168,0
2015-09-01,991,0
2015-10-01,940,0
2015-11-01,1262,1
2015-12-01,1520,1
2016-01-01,2949,4
2016-02-01,1926,5
2016-03-01,1447,5
2016-04-01,984,2
2016-05-01,1021,1
2016-06-01,798,2
2016-07-01,1166,2
2016-08-01,1002,3
2016-09-01,729,0
2016-10-01,496,1
2016-11-01,316,1
2016-12-01,276,0
2017-01-01,358,2
2017-02-01,223,2
2017-03-01,147,2
2017-04-01,199,0
2017-05-01,212,2
2017-06-01,289,1
2017-07-01,293,1
2017-08-01,192,2
2017-09-01,190,1
2017-10-01,307,2
2017-11-01,155,1
2017-12-01,273,1
2018-01-01,215,0
2018-02-01,167,1
2018-03-01,134,2
2018-04-01,261,4
2018-05-01,241,4
2018-06-01,264,3
2018-07-01,247,3
2018-08-01,242,3
2018-09-01,278,1
2018-10-01,264,2
2018-11-01,355,0
2018-12-01,713,5
2019-01-01,852,12
2019-02-01,704,8
2019-03-01,545,3
2019-04-01,607,4
2019-05-01,1370,5
2019-06-01,2373,17
2019-07-01,2503,10
2019-08-01,1929,6
2019-09-01,1440,12
2019-10-01,1013,4
2019-11-01,1316,4
2019-12-01,1355,2
2020-01-01,1421,5
2020-02-01,1531,4
2020-03-01,1823,1
2020-04-01,1490,3
2020-05-01,3243,9
2020-06-01,5424,8
2020-07-01,6557,9
2020-08-01,6378,7
2020-09-01,2591,1
2020-10-01,2122,4
2020-11-01,1527,1
2020-12-01,852,1
2021-01-01,786,2
2021-02-01,574,3
2021-03-01,507,0
2021-04-01,426,1
2021-05-01,572,3
2021-06-01,510,1
2021-07-01,341,0
2021-08-01,304,0
2021-09-01,348,2
2021-10-01,399,0
2021-11-01,209,0
2021-12-01,269,1
2022-01-01,752,5
2022-02-01,837,2
2022-03-01,1741,0
2022-04-01,3319,3
2022-05-01,6443,15
2022-06-01,5069,4
2022-07-01,5103,3
2022-08-01,2796,5
2022-09-01,2012,1
2022-10-01,1778,2
2022-11-01,1116,3
2022-12-01,1172,2
